model,step,timestamp,combined_pvalue
Ponita,1020,2025-09-29T22:22:24.585878,1.191645982524e-01
Ponita,1030,2025-09-29T22:28:10.668322,2.393766846793e-02
Ponita,1040,2025-09-29T22:33:56.741731,1.033591273111e-01
Ponita,1050,2025-09-29T22:39:44.209093,9.985160246662e-01
Ponita,1060,2025-09-29T22:45:31.161452,9.996599619951e-01
Ponita,1070,2025-09-29T22:51:17.472806,5.874061468789e-01
Ponita,1080,2025-09-29T22:57:04.340164,9.380561495039e-01
Ponita,1090,2025-09-29T23:02:51.563525,4.216281980311e-08
Ponita,1100,2025-09-29T23:08:38.871886,9.998743114369e-01
Ponita,1110,2025-09-29T23:14:26.752251,5.227737879329e-02
Ponita,1120,2025-09-29T23:20:14.249614,7.367449444117e-02
Ponita,1130,2025-09-29T23:26:01.827977,9.575791573901e-01
Ponita,1140,2025-09-29T23:31:49.910343,6.906863463273e-01
Ponita,1150,2025-09-29T23:37:37.601707,8.477220146884e-01
Ponita,1160,2025-09-29T23:43:23.862061,4.046184226735e-01
Ponita,1170,2025-09-29T23:49:11.470424,2.503542721206e-02
Ponita,1180,2025-09-29T23:54:58.996787,9.154462258975e-01
Ponita,1190,2025-09-30T00:00:45.981146,9.994460875772e-01
Ponita,1200,2025-09-30T00:06:33.098506,1.520167761445e-10
Ponita,1210,2025-09-30T00:12:20.305866,4.179893764084e-08
Ponita,1220,2025-09-30T00:18:07.223225,9.679435673862e-01
Ponita,1230,2025-09-30T00:23:53.834581,9.893016404736e-01
Ponita,1240,2025-09-30T00:29:41.109942,9.673302247778e-01
Ponita,1250,2025-09-30T00:35:27.683298,9.766532597253e-01
Ponita,1260,2025-09-30T00:41:14.757708,5.914656590635e-01
Ponita,1270,2025-09-30T00:47:02.000153,3.111201253555e-06
Ponita,1280,2025-09-30T00:52:48.763595,2.827811655713e-09
Ponita,1290,2025-09-30T00:58:33.659024,9.943091841903e-01
Ponita,1300,2025-09-30T01:04:20.586467,5.205743078086e-01
Ponita,1310,2025-09-30T01:10:07.905913,7.275708059384e-01
Ponita,1320,2025-09-30T01:15:55.565560,9.991964714670e-01
Ponita,1330,2025-09-30T01:21:43.233330,6.948229867135e-01
Ponita,1340,2025-09-30T01:27:30.709099,9.999999999776e-01
Ponita,1350,2025-09-30T01:33:19.254866,9.771408138044e-01
Ponita,1360,2025-09-30T01:39:06.693619,6.509537216358e-01
Ponita,1370,2025-09-30T01:44:54.981379,9.851219334998e-01
Ponita,1380,2025-09-30T01:50:43.934953,2.144385601229e-03
Ponita,1390,2025-09-30T01:56:32.104445,1.589559224649e-02
Ponita,1400,2025-09-30T02:02:22.029949,7.201243805740e-01
Ponita,1410,2025-09-30T02:08:09.856438,9.709783869227e-01
Ponita,1420,2025-09-30T02:13:56.781920,3.260735381883e-06
Ponita,1430,2025-09-30T02:19:45.297414,9.143869336481e-01
Ponita,1440,2025-09-30T02:25:34.157910,9.991454271563e-01
Ponita,1450,2025-09-30T02:31:23.454410,8.651491009881e-01
Ponita,1460,2025-09-30T02:37:11.634901,5.223783027956e-01
